departement,candidate,party
Ain,Emmueal Macron,La République En Marche!
Aisne,Marine Le Pen,National Rally
Allier,Emmueal Macron,La République En Marche!
Alpes-de-Haute-Provence,Emmueal Macron,La République En Marche!
Hautes-Alpes,Emmueal Macron,La République En Marche!
Alpes-Maritimes,Emmueal Macron,La République En Marche!
Ardèche,Emmueal Macron,La République En Marche!
Ardennes,Emmueal Macron,La République En Marche!
Ariège,Emmueal Macron,La République En Marche!
Aube,Emmueal Macron,La République En Marche!
Aude,Emmueal Macron,La République En Marche!
Aveyron,Emmueal Macron,La République En Marche!
Bouches-du-Rhône,Emmueal Macron,La République En Marche!
Calvados,Emmueal Macron,La République En Marche!
Cantal,Emmueal Macron,La République En Marche!
Charente,Emmueal Macron,La République En Marche!
Charente-Maritime,Emmueal Macron,La République En Marche!
Cher,Emmueal Macron,La République En Marche!
Corrèze,Emmueal Macron,La République En Marche!
Corse-du-Sud,Emmueal Macron,La République En Marche!
Haute-Corse,Emmueal Macron,La République En Marche!
Côte-d'Or,Emmueal Macron,La République En Marche!
Côtes-d'Armor,Emmueal Macron,La République En Marche!
Creuse,Emmueal Macron,La République En Marche!
Dordogne,Emmueal Macron,La République En Marche!
Doubs,Emmueal Macron,La République En Marche!
Drôme,Emmueal Macron,La République En Marche!
Eure,Emmueal Macron,La République En Marche!
Eure-et-Loir,Emmueal Macron,La République En Marche!
Finistère,Emmueal Macron,La République En Marche!
Gard,Emmueal Macron,La République En Marche!
Haute-Garonne,Emmueal Macron,La République En Marche!
Gers,Emmueal Macron,La République En Marche!
Gironde,Emmueal Macron,La République En Marche!
Hérault,Emmueal Macron,La République En Marche!
Ille-et-Vilaine,Emmueal Macron,La République En Marche!
Indre,Emmueal Macron,La République En Marche!
Indre-et-Loire,Emmueal Macron,La République En Marche!
Isère,Emmueal Macron,La République En Marche!
Jura,Emmueal Macron,La République En Marche!
Landes,Emmueal Macron,La République En Marche!
Loir-et-Cher,Emmueal Macron,La République En Marche!
Loire,Emmueal Macron,La République En Marche!
Haute-Loire,Emmueal Macron,La République En Marche!
Loire-Atlantique,Emmueal Macron,La République En Marche!
Loiret,Emmueal Macron,La République En Marche!
Lot,Emmueal Macron,La République En Marche!
Lot-et-Garonne,Emmueal Macron,La République En Marche!
Lozère,Emmueal Macron,La République En Marche!
Maine-et-Loire,Emmueal Macron,La République En Marche!
Manche,Emmueal Macron,La République En Marche!
Marne,Emmueal Macron,La République En Marche!
Haute-Marne,Emmueal Macron,La République En Marche!
Mayenne,Emmueal Macron,La République En Marche!
Meurthe-et-Moselle,Emmueal Macron,La République En Marche!
Meuse,Emmueal Macron,La République En Marche!
Morbihan,Emmueal Macron,La République En Marche!
Moselle,Emmueal Macron,La République En Marche!
Nièvre,Emmueal Macron,La République En Marche!
Nord,Emmueal Macron,La République En Marche!
Oise,Emmueal Macron,La République En Marche!
Orne,Emmueal Macron,La République En Marche!
Pas-de-Calais,Marine Le Pen,National Rally
Puy-de-Dôme,Emmueal Macron,La République En Marche!
Pyrénées-Atlantiques,Emmueal Macron,La République En Marche!
Hautes-Pyrénées,Emmueal Macron,La République En Marche!
Pyrénées-Orientales,Emmueal Macron,La République En Marche!
Bas-Rhin,Emmueal Macron,La République En Marche!
Haut-Rhin,Emmueal Macron,La République En Marche!
Rhône,Emmueal Macron,La République En Marche!
Haute-Saône,Emmueal Macron,La République En Marche!
Saône-et-Loire,Emmueal Macron,La République En Marche!
Sarthe,Emmueal Macron,La République En Marche!
Savoie,Emmueal Macron,La République En Marche!
Haute-Savoie,Emmueal Macron,La République En Marche!
Paris,Emmueal Macron,La République En Marche!
Seine-Maritime,Emmueal Macron,La République En Marche!
Seine-et-Marne,Emmueal Macron,La République En Marche!
Yvelines,Emmueal Macron,La République En Marche!
Deux-Sèvres,Emmueal Macron,La République En Marche!
Somme,Emmueal Macron,La République En Marche!
Tarn,Emmueal Macron,La République En Marche!
Tarn-et-Garonne,Emmueal Macron,La République En Marche!
Var,Emmueal Macron,La République En Marche!
Vaucluse,Emmueal Macron,La République En Marche!
Vendée,Emmueal Macron,La République En Marche!
Vienne,Emmueal Macron,La République En Marche!
Haute-Vienne,Emmueal Macron,La République En Marche!
Vosges,Emmueal Macron,La République En Marche!
Yonne,Emmueal Macron,La République En Marche!
Territoire de Belfort,Emmueal Macron,La République En Marche!
Essonne,Emmueal Macron,La République En Marche!
Hauts-de-Seine,Emmueal Macron,La République En Marche!
Seine-Saint-Denis,Emmueal Macron,La République En Marche!
Val-de-Marne,Emmueal Macron,La République En Marche!
Val-d'Oise,Emmueal Macron,La République En Marche!
Guadeloupe,Emmueal Macron,La République En Marche!
Martinique,Emmueal Macron,La République En Marche!
French Guiana,Emmueal Macron,La République En Marche!
Réunion,Emmueal Macron,La République En Marche!
Mayotte,Emmueal Macron,La République En Marche!
New Caledonia,Emmueal Macron,La République En Marche!
French Polynesia,Emmueal Macron,La République En Marche!
Saint Pierre and Miquelon,Emmueal Macron,La République En Marche!
Wallis and Futuna,Emmueal Macron,La République En Marche!
Saint Martin/Saint Barthélemy,Emmueal Macron,La République En Marche!
